Ubigeo;Departamento;Provincia;Distrito;Poblacion_proyectada2020;Intervalo_inferior;Intervalo_superior;Grupo_robusto;Ubicacion_pobreza_monetaria
80308;CUSCO;ANTA;PUCYURA;3166;17,1;31,4;14;1290
80309;CUSCO;ANTA;ZURITE;3758;17,1;31,4;14;1291
21001;ÁNCASH;HUARI;HUARI;9803;15,6;32,9;14;1292
20802;ÁNCASH;CASMA;BUENA VISTA ALTA;5413;17,6;30,8;14;1293
20804;ÁNCASH;CASMA;YAUTÁN;9140;17,6;30,8;14;1294
130102;LA LIBERTAD;TRUJILLO;EL PORVENIR;229115;19,6;28,8;14;1295
120421;JUNÍN;JAUJA;MUQUIYAUYO;2380;15;33,4;14;1296
120434;JUNÍN;JAUJA;YAUYOS;10049;15;33,4;14;1297
80401;CUSCO;CALCA;CALCA;23423;15,8;32,5;14;1298
130202;LA LIBERTAD;ASCOPE;CHICAMA;16065;16,4;31,9;14;1299
140303;LAMBAYEQUE;LAMBAYEQUE;ILLIMO;9472;16,6;31,5;14;1300
80802;CUSCO;ESPINAR;CONDOROMA;872;12,3;35,6;14;1301
150510;LIMA;CAÑETE;NUEVO IMPERIAL;28216;17,2;30,8;14;1302
70107;CALLAO;CALLAO;MI PERÚ;52348;16,8;31;14;1303
220704;SAN MARTÍN;PICOTA;PILLUANA;881;9,3;38,6;14;1304
220401;SAN MARTÍN;HUALLAGA;SAPOSOA;14798;16;31,8;14;1305
220402;SAN MARTÍN;HUALLAGA;ALTO SAPOSOA;5374;16;31,8;14;1306
80903;CUSCO;LA CONVENCIÓN;HUAYOPATA;5487;11,7;36;14;1307
90201;HUANCAVELICA;ACOBAMBA;ACOBAMBA;9579;15,1;32,6;14;1308
120706;JUNÍN;TARMA;PALCA;5897;11;36,5;14;1309
150124;LIMA;LIMA;PUCUSANA;16615;15,9;31,6;14;1310
100607;HUÁNUCO;LEONCIO PRADO;PUCAYACU;3917;14,7;32,7;14;1311
100610;HUÁNUCO;LEONCIO PRADO;SANTO DOMINGO DE ANDA;2667;14,7;32,7;14;1312
210809;PUNO;MELGAR;UMACHIRI;3884;7,8;39,6;14;1313
220602;SAN MARTÍN;MARISCAL CÁCERES;CAMPANILLA;17190;9,7;37,6;14;1314
140305;LAMBAYEQUE;LAMBAYEQUE;MOCHUMI;19750;17,4;29,9;14;1315
230203;TACNA;CANDARAVE;CAMILACA;1120;15,5;31,7;14;1316
230205;TACNA;CANDARAVE;HUANUARA;480;15,5;31,7;14;1317
50801;AYACUCHO;PAUCAR DEL SARA SA;PAUSA;3376;13,3;33,8;14;1318
81304;CUSCO;URUBAMBA;MACHUPICCHU;5704;17,3;29,7;14;1319
80601;CUSCO;CANCHIS;SICUANI;64711;13,7;33,3;14;1320
21405;ÁNCASH;OCROS;COCHAS;1566;14,6;32,4;14;1321
21407;ÁNCASH;OCROS;LLIPA;233;14,6;32,4;14;1322
160602;LORETO;UCAYALI;INAHUAYA;1739;15,4;31,6;14;1323
30401;APURÍMAC;AYMARAES;CHALHUANCA;5191;14,3;32,5;14;1324
230403;TACNA;TARATA;ESTIQUE;219;14,6;32,1;14;1325
230404;TACNA;TARATA;ESTIQUE-PAMPA;325;14,6;32,1;14;1326
40602;AREQUIPA;CONDESUYOS;ANDARAY;685;15;31,7;14;1327
40605;AREQUIPA;CONDESUYOS;IRAY;599;15;31,7;14;1328
20106;ÁNCASH;HUARAZ;JANGAS;5206;15,5;31,2;14;1329
90602;HUANCAVELICA;HUAYTARÁ;AYAVI;830;15,2;31,5;14;1330
90603;HUANCAVELICA;HUAYTARÁ;CÓRDOVA;927;15,2;31,5;14;1331
90605;HUANCAVELICA;HUAYTARÁ;LARAMARCA;876;15,2;31,5;14;1332
120210;JUNÍN;CONCEPCIÓN;MATAHUASI;6318;9,5;37;14;1333
80902;CUSCO;LA CONVENCIÓN;ECHARATE;25281;13,3;33,2;14;1334
100901;HUÁNUCO;PUERTO INCA;PUERTO INCA;10665;10,4;36,1;14;1335
61203;CAJAMARCA;SAN PABLO;SAN LUIS;922;55,7;73,5;4;70
21304;ÁNCASH;MARISCAL LUZURIAGA;AFIDEL OLIVAS ESCUDERO;1993;51,3;77,8;4;71
