  Provincia;Superficie km2;Población proyectada 2014;Densidad poblacional h/k;;Capital de provincia;Altitud msn
Cusco;617;442629;717,39;;Cusco;3414
Acomayo;948.22;27908;29,43;;Acomayo;3221
Anta;1876.12;56638;30,19;;Anta;3345
Calca;4414.49;73675;16,69;;Calca;2925
Canas;2103.76;39530;18,79;;Yanaoca;3910
Canchis;3999.27;102406;25,61;;Sicuani;3546
Chumbivilcas;5371.08;82257;15,31;;Santo Tomás;3678
Espinar;5311.09;68913;12,98;;Espinar;3924
La Convención;30061.82;179775;5,98;;Quillabamba;1063
Paruro;1984.42;30847;15,54;;Paruro;3068
Paucartambo;6295.01;50828;8,07;;Paucartambo;3005
Quispicanchi;7564.79;89359;11,81;;Urcos;3158
Urubamba;1439.43;64041;44,49;;Urubamba;2869
